"","Study#","Virus strain","number of samples","Virus dose/note","NHP ID","Time point post challenge","sr_group","sr_group_time","sr_group_dose","sr_info","ag_name","Titer","Titer_thresh1","Titer_thresh20"
"61","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","DV.7.1","7.2017156146934997","7.2017156146934997","<20"
"62","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","HV.1","4.9040750817838799","4.9040750817838799","<20"
"63","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","HK.3","5.3749585090183798","5.3749585090183798","<20"
"64","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","BA.2.86","*","*","*"
"65","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","EG.5.1","25.722642862740098","25.722642862740098","25.722642862740098"
"66","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","JN.1","*","*","*"
"67","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","KP.2","*","*","*"
"68","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","KP.3","*","*","*"
"69","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","KZ.1.1.1","*","*","*"
"70","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","Wuhan","*","*","*"
"71","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","Alpha","*","*","*"
"72","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","Beta","*","*","*"
"73","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","Delta","*","*","*"
