"","sr_group","ag1","ag2","fc","fc_lower","fc_upper"
"101","BA.1 conv.","ba.1","BQ.1.1",-4.20667268072012,-8.10721921038693,-2.56063186208113
"102","BA.1 conv.","ba.1","CH.1.1",-4.78431745826841,-9.87000887469599,-3.10812450132874
"103","BA.1 conv.","ba.1","XBB.1",-4.67521934341403,-10.8980736554115,-2.68519393966072
"104","BA.1 conv.","ba.1","XBB.1.5",-5.46384530551835,-17.8930637802184,-2.89830768421618
"105","BA.1 conv.","ba.1","XBC.1.6",-4.19639232245439,-7.41136960962755,-2.74677654552903
"106","BA.1 conv.","ba.1","FL.1.5.1",-4.64916388250265,-11.1376058369305,-2.78161491255766
"107","BA.1 conv.","ba.1","DV.7.1",-3.47509679483967,-5.78766785270648,-2.09180097627525
"108","BA.1 conv.","ba.1","HV.1",-6.06661871149169,-29.8705251803968,-3.60503669304115
"109","BA.1 conv.","ba.1","HK.3",-6.02150991367116,-27.9614197879729,-3.86094494565859
"110","BA.1 conv.","ba.1","BA.2.86",-11.0795150195814,-197.585830007132,-6.88345996629231
"111","BA.1 conv.","ba.1","EG.5.1",-5.41771935633235,-17.9893093241637,-2.93735184965047
"112","BA.1 conv.","ba.1","JN.1",-11.0795150195814,-196.063750833876,-6.86381931475698
"113","BA.1 conv.","ba.1","KP.2",-11.0795150195814,-202.362894775061,-6.68620228644672
"114","BA.1 conv.","ba.1","KP.3",-11.0795150195814,-200.544976879616,-6.54913048787939
"115","BA.1 conv.","ba.1","KZ.1.1.1",-11.0795150195814,-196.20150535758,-6.63380302282928
"116","BA.2.12.1 conv.","ba.2.12.1","Wuhan",-1.67555802955486,-17.2166897879522,2.93182109129257
"117","BA.2.12.1 conv.","ba.2.12.1","Alpha",-0.0234811642194036,-2.40964773287771,2.3904933802174
"118","BA.2.12.1 conv.","ba.2.12.1","Beta",-1.79335327250964,-16.742807643671,2.70585379999914
"119","BA.2.12.1 conv.","ba.2.12.1","Delta",-0.301599208132703,-5.99677136088123,3.17059411232619
"120","BA.2.12.1 conv.","ba.2.12.1","BA.1",-1.18710007547953,-5.874847942424,1.74083871905081
"121","BA.2.12.1 conv.","ba.2.12.1","BA.2",0.0966570985875134,-2.15971066715573,2.4015857571961
"122","BA.2.12.1 conv.","ba.2.12.1","BA.2.12.1",0,-2.3639417996516,2.42250766022143
"123","BA.2.12.1 conv.","ba.2.12.1","BA.5",-1.96564813212421,-16.349040073262,2.92687945468352
"124","BA.2.12.1 conv.","ba.2.12.1","BQ.1.1",-7.22298505109812,-196.17999090383,-2.32627723767164
"125","BA.2.12.1 conv.","ba.2.12.1","CH.1.1",-7.22298505109812,-196.808724421878,-2.33284083614921
"126","BA.2.12.1 conv.","ba.2.12.1","XBB.1",-1.46554296312203,-21.3229172739876,3.3840543936198
"127","BA.2.12.1 conv.","ba.2.12.1","XBB.1.5",-7.22298505109812,-201.157821000997,-1.59386084074845
"128","BA.2.12.1 conv.","ba.2.12.1","XBC.1.6",-1.95571799766215,-16.4179740796419,2.18132846853046
"129","BA.2.12.1 conv.","ba.2.12.1","FL.1.5.1",-7.22298505109812,-198.844883339433,-2.6414037043951
"130","BA.2.12.1 conv.","ba.2.12.1","DV.7.1",-7.22298505109812,-199.061237766745,-2.21264836654047
"131","BA.2.12.1 conv.","ba.2.12.1","HV.1",-1.27044807841392,-5.94115732386636,1.7045027528092
"132","BA.2.12.1 conv.","ba.2.12.1","HK.3",-7.22298505109812,-200.872786200933,-2.84984595999745
"133","BA.2.12.1 conv.","ba.2.12.1","BA.2.86",-7.22298505109812,-197.519780549255,-2.40803685789157
"134","BA.2.12.1 conv.","ba.2.12.1","EG.5.1",-1.85967574985928,-19.3339892658054,4.04955793646193
"135","BA.2.12.1 conv.","ba.2.12.1","JN.1",-7.22298505109812,-198.803109992438,-2.47779734651089
"136","BA.2.12.1 conv.","ba.2.12.1","KP.2",-7.22298505109812,-197.841879169414,-2.45659266729026
"137","BA.2.12.1 conv.","ba.2.12.1","KP.3",-7.22298505109812,-203.355985396792,-1.86205384267691
"138","BA.2.12.1 conv.","ba.2.12.1","KZ.1.1.1",-7.22298505109812,-198.159839006094,-0.146893389753288
"139","XBB.1.5 conv.","xbb.1.5","Wuhan",-1.7159197046103,-20.9884178107226,0.369316881569143
"140","XBB.1.5 conv.","xbb.1.5","Alpha",0.375903145737773,-0.443219627997569,1.49971125684522
"141","XBB.1.5 conv.","xbb.1.5","Beta",-0.65085805146077,-6.1401280691386,1.18274210672818
"142","XBB.1.5 conv.","xbb.1.5","Delta",0.387734042519954,-0.822743111998785,1.47511316558113
"143","XBB.1.5 conv.","xbb.1.5","BA.1",-1.70589842843288,-19.1133237030051,0.255117654314784
"144","XBB.1.5 conv.","xbb.1.5","BA.2",-0.34409989706384,-2.16450644925216,0.572475484313849
"145","XBB.1.5 conv.","xbb.1.5","BA.2.12.1",-0.980379876150788,-7.27538519875814,0.647651980917617
"146","XBB.1.5 conv.","xbb.1.5","BA.5",-6.79382916269048,-198.667860876162,-2.95084789107063
"147","XBB.1.5 conv.","xbb.1.5","BQ.1.1",-0.990953783304016,-6.82723310285042,0.435414093744705
"148","XBB.1.5 conv.","xbb.1.5","CH.1.1",-0.093835296147933,-1.67020651010225,1.04047830712329
"149","XBB.1.5 conv.","xbb.1.5","XBB.1",-0.94246900431811,-7.07656286625647,0.603094506168764
"150","XBB.1.5 conv.","xbb.1.5","XBB.1.5",0,-0.611505912679878,0.59827815053424
"151","XBB.1.5 conv.","xbb.1.5","XBC.1.6",-0.973617788480121,-6.9559498320433,0.402292647030482
"152","XBB.1.5 conv.","xbb.1.5","FL.1.5.1",-0.950844786002976,-7.56225161888352,0.793433227329335
"153","XBB.1.5 conv.","xbb.1.5","DV.7.1",-0.564748931715838,-3.54766098737591,0.664881664515443
"154","XBB.1.5 conv.","xbb.1.5","HV.1",-0.984708462430987,-7.05205868925884,0.51675656533857
"155","XBB.1.5 conv.","xbb.1.5","HK.3",-0.972276794800029,-6.9309806001945,0.502254134615543
"156","XBB.1.5 conv.","xbb.1.5","BA.2.86",-1.76296758797008,-20.4686492545829,0.478378511665449
"157","XBB.1.5 conv.","xbb.1.5","EG.5.1",-0.304832552232959,-2.10860169713548,0.710257459141399
"158","XBB.1.5 conv.","xbb.1.5","JN.1",-6.79382916269048,-199.081360700456,-2.66919189613667
"159","XBB.1.5 conv.","xbb.1.5","KP.2",-0.219918653326874,-1.76733860244254,0.873462960688398
"160","XBB.1.5 conv.","xbb.1.5","KP.3",-1.74762471708329,-18.5208227829718,0.146158795820372
"161","XBB.1.5 conv.","xbb.1.5","KZ.1.1.1",-6.79382916269048,-198.782133569412,-2.70651197741663
"162","Wuhan vax. (two doses)","wuhan","Wuhan",0,-0.753418155776853,0.735261894887019
"163","Wuhan vax. (two doses)","wuhan","Alpha",-1.21532688986524,-2.40042412120553,-0.117449569851071
"164","Wuhan vax. (two doses)","wuhan","Beta",-4.16155391124593,-5.76604935381972,-2.63776791676901
"165","Wuhan vax. (two doses)","wuhan","Delta",-3.13888235287005,-4.33514762108206,-1.91239036040334
"166","Wuhan vax. (two doses)","wuhan","BA.1",-6.0531925970902,-7.22579784004823,-4.88972553650593
"167","Wuhan vax. (two doses)","wuhan","BA.2",-4.76714735595654,-5.9188109623249,-3.62221261568059
"168","Wuhan vax. (two doses)","wuhan","BA.2.12.1",-5.94842966142803,-7.28609135919887,-4.45345785089423
"169","Wuhan vax. (two doses)","wuhan","BA.5",-5.95218135018357,-7.22254523040764,-4.55713242216754
"170","Wuhan vax. (two doses)","wuhan","BQ.1.1",-7.02196077551332,-8.3912479583443,-5.56600057989064
"171","Wuhan vax. (two doses)","wuhan","CH.1.1",-15.496337467432,-201.115508482911,-11.0904429690841
"172","Wuhan vax. (two doses)","wuhan","XBB.1",-8.90003576574069,-14.2228862770506,-6.1868025484517
"173","Wuhan vax. (two doses)","wuhan","XBB.1.5",-6.75652585121991,-7.59725235945932,-5.92322845702341
"174","Wuhan vax. (two doses)","wuhan","XBC.1.6",-7.89688485716,-10.2952344748524,-6.37954929219657
"175","Wuhan vax. (two doses)","wuhan","FL.1.5.1",-10.6764571022388,-33.0916769344749,-7.61485686430059
"176","Wuhan vax. (two doses)","wuhan","DV.7.1",-10.3485140059245,-25.2489535708257,-8.08964936884747
"177","Wuhan vax. (two doses)","wuhan","HV.1",-10.5358647668499,-23.8352891560218,-8.39313736682712
"178","Wuhan vax. (two doses)","wuhan","HK.3",-10.3540965579518,-25.3992575163113,-8.21742545452386
"179","Wuhan vax. (two doses)","wuhan","BA.2.86",-8.18397067334797,-9.37084784397769,-7.18589353502243
"180","Wuhan vax. (two doses)","wuhan","EG.5.1",-8.74645584390162,-11.1640395651455,-7.06456532279095
"181","Wuhan vax. (two doses)","wuhan","JN.1",-8.68464196008921,-10.8524121265191,-7.22581852340694
