"","sr_group","ag1","ag2","fc","fc_lower","fc_upper"
"110","BA.1 conv.","ba.1","KZ.1.1.1",-11.0795150195814,-198.317620050994,-6.804862637903
"111","BA.2.12.1 conv.","ba.2.12.1","Wuhan",-1.67555802955486,-16.6199608645381,3.36408968533614
"112","BA.2.12.1 conv.","ba.2.12.1","Alpha",-0.813182897441221,-3.09463861612602,1.5226524778981
"113","BA.2.12.1 conv.","ba.2.12.1","Beta",-1.79335327250964,-16.5802826909943,2.94323631095473
"114","BA.2.12.1 conv.","ba.2.12.1","Delta",-0.301599208132703,-5.73537830022873,3.4714650249203
"115","BA.2.12.1 conv.","ba.2.12.1","BA.1",-1.18710007547953,-5.9237786347355,2.179037288409
"116","BA.2.12.1 conv.","ba.2.12.1","BA.2",0.0966570985875134,-2.14856825270479,2.40563635867891
"117","BA.2.12.1 conv.","ba.2.12.1","BA.2.12.1",0,-2.25196011659081,2.21562468034478
"118","BA.2.12.1 conv.","ba.2.12.1","BA.5",-1.96564813212421,-17.0439711294349,2.36948215349064
"119","BA.2.12.1 conv.","ba.2.12.1","BQ.1.1",-7.22298505109812,-199.454359510707,-2.83097538388524
"120","BA.2.12.1 conv.","ba.2.12.1","XBB.1",-1.46554296312203,-19.5345469138981,3.76348257468154
"121","BA.2.12.1 conv.","ba.2.12.1","XBB.1.5",-7.22298505109812,-203.305975758254,-2.34757393063913
"122","BA.2.12.1 conv.","ba.2.12.1","XBC.1.6",-1.95571799766215,-14.7468127631146,2.28226685356703
"123","BA.2.12.1 conv.","ba.2.12.1","FL.1.5.1",-7.22298505109812,-200.881520298607,-2.16051795472474
"124","BA.2.12.1 conv.","ba.2.12.1","DV.7.1",-7.22298505109812,-197.142925133923,-2.27058188842228
"125","BA.2.12.1 conv.","ba.2.12.1","HV.1",-1.27044807841392,-5.835243462791,1.90604671932612
"126","BA.2.12.1 conv.","ba.2.12.1","HK.3",-7.22298505109812,-197.547392705358,-2.63262622403455
"127","BA.2.12.1 conv.","ba.2.12.1","BA.2.86",-7.22298505109812,-200.110289179625,-2.55134496764962
"128","BA.2.12.1 conv.","ba.2.12.1","EG.5.1",-1.85967574985928,-19.1458520704277,3.72302564763514
"129","BA.2.12.1 conv.","ba.2.12.1","JN.1",-7.22298505109812,-199.747735812461,-1.82231055342212
"130","BA.2.12.1 conv.","ba.2.12.1","KP.2",-7.22298505109812,-198.56982316421,-2.51745672998692
"131","BA.2.12.1 conv.","ba.2.12.1","KP.3",-7.22298505109812,-200.406921865008,-2.11548837462822
"132","BA.2.12.1 conv.","ba.2.12.1","KZ.1.1.1",-7.22298505109812,-197.006768110092,-2.35347584652294
"133","Wuhan vax. (two doses)","wuhan","Wuhan",0,-0.775543488279746,0.766871024791675
"134","Wuhan vax. (two doses)","wuhan","Alpha",-2.00503650966543,-3.12960818638748,-0.846748326379832
"135","Wuhan vax. (two doses)","wuhan","Beta",-4.16155391124593,-5.72795639801853,-2.49423803442601
"136","Wuhan vax. (two doses)","wuhan","Delta",-3.13888235287005,-4.29665640150089,-1.86377966430281
"137","Wuhan vax. (two doses)","wuhan","BA.1",-6.0531925970902,-7.24917067933378,-4.89051624197024
"138","Wuhan vax. (two doses)","wuhan","BA.2",-4.76714735595654,-5.9329618329573,-3.65052096428108
"139","Wuhan vax. (two doses)","wuhan","BA.2.12.1",-5.94842966142803,-7.3556865402977,-4.45650166783488
"140","Wuhan vax. (two doses)","wuhan","BA.5",-5.95218135018357,-7.22466672609912,-4.58163124554381
"141","Wuhan vax. (two doses)","wuhan","BQ.1.1",-7.02196077551332,-8.45478066414571,-5.60455433498201
"142","Wuhan vax. (two doses)","wuhan","XBB.1",-8.90003576574069,-14.0763428912235,-6.22339190995093
"143","Wuhan vax. (two doses)","wuhan","XBB.1.5",-6.75652585121991,-7.6222475595337,-5.94631237606406
"144","Wuhan vax. (two doses)","wuhan","XBC.1.6",-7.89688485716,-10.1540465453941,-6.31100042422001
"145","Wuhan vax. (two doses)","wuhan","FL.1.5.1",-10.6764571022388,-32.081830150549,-7.45010916390505
"146","Wuhan vax. (two doses)","wuhan","DV.7.1",-10.3485140059245,-25.7465070833557,-7.83260597520242
"147","Wuhan vax. (two doses)","wuhan","HV.1",-10.5358647668499,-25.2056652638619,-8.32507351037107
"148","Wuhan vax. (two doses)","wuhan","HK.3",-10.3540965579518,-25.1561934576274,-7.99178434958516
"149","Wuhan vax. (two doses)","wuhan","BA.2.86",-8.18397067334797,-9.34975431788618,-7.14916986826999
"150","Wuhan vax. (two doses)","wuhan","EG.5.1",-8.74645584390162,-11.0952760769483,-7.18202643688501
"151","Wuhan vax. (two doses)","wuhan","JN.1",-8.68464196008921,-10.9113096651476,-7.18196707500253
"152","Wuhan vax. (two doses)","wuhan","KP.2",-9.05353683057409,-11.9138914131125,-7.62281413430387
"153","Wuhan vax. (two doses)","wuhan","KP.3",-8.60685928439381,-10.3335151391868,-7.41233917374931
"154","Wuhan vax. (two doses)","wuhan","KZ.1.1.1",-9.37299002655027,-11.8594182178377,-7.96633247168641
"155","XBB.1.5 vax. (two doses)","xbb.1.5","Wuhan",-3.40175789750614,-5.10043913839713,-1.70178414615712
"156","XBB.1.5 vax. (two doses)","xbb.1.5","Alpha",-7.69021419332902,-10.2194084327952,-5.4568542407361
"157","XBB.1.5 vax. (two doses)","xbb.1.5","Beta",-7.78339025266724,-10.5403598209991,-5.36288722565449
"158","XBB.1.5 vax. (two doses)","xbb.1.5","Delta",-10.1995713187284,-25.8458904043203,-5.50010306413118
"159","XBB.1.5 vax. (two doses)","xbb.1.5","BA.1",-3.96403879451718,-5.19134102553567,-2.62334065305805
"160","XBB.1.5 vax. (two doses)","xbb.1.5","BA.2",-2.21693348081599,-3.26509674645932,-1.10693766567895
"161","XBB.1.5 vax. (two doses)","xbb.1.5","BA.2.12.1",-2.89998444031209,-4.24304754287459,-1.53423448153722
"162","XBB.1.5 vax. (two doses)","xbb.1.5","BA.5",-3.19713967480407,-4.19187247822324,-2.17194081678151
"163","XBB.1.5 vax. (two doses)","xbb.1.5","BQ.1.1",-4.31759840631765,-5.67652935433799,-2.88655460455566
"164","XBB.1.5 vax. (two doses)","xbb.1.5","XBB.1",-2.69294130434822,-3.8644696975654,-1.5071580266763
"165","XBB.1.5 vax. (two doses)","xbb.1.5","XBB.1.5",0,-0.729399517372359,0.794846174345062
"166","XBB.1.5 vax. (two doses)","xbb.1.5","XBC.1.6",-2.03687787856972,-3.41899524425464,-0.720635995527614
"167","XBB.1.5 vax. (two doses)","xbb.1.5","FL.1.5.1",-1.95584507154224,-2.8514561070312,-1.09955086286953
"168","XBB.1.5 vax. (two doses)","xbb.1.5","DV.7.1",-5.42035357040449,-6.70674790052454,-4.11495418477921
"169","XBB.1.5 vax. (two doses)","xbb.1.5","HV.1",-1.84087340666072,-2.89721182763506,-0.766765377463084
"170","XBB.1.5 vax. (two doses)","xbb.1.5","HK.3",-1.55329164956384,-2.67067555951981,-0.496450697369769
"171","XBB.1.5 vax. (two doses)","xbb.1.5","BA.2.86",-2.22325297821907,-3.57540779003389,-0.860440032248808
"172","XBB.1.5 vax. (two doses)","xbb.1.5","EG.5.1",-2.10179654696904,-2.97491564757054,-1.1527935163363
"173","XBB.1.5 vax. (two doses)","xbb.1.5","JN.1",-2.85388233172106,-4.2144672925351,-1.56481826862114
"174","XBB.1.5 vax. (two doses)","xbb.1.5","KP.2",-3.03373110155481,-4.64241935265991,-1.51839523296249
"175","XBB.1.5 vax. (two doses)","xbb.1.5","KP.3",-3.58514118389336,-4.84594507291323,-2.28225336553143
"176","XBB.1.5 vax. (two doses)","xbb.1.5","KZ.1.1.1",-4.08167173721219,-5.50053559560731,-2.51959617595637
"177","Wuhan vax. (single dose)","wuhan","Wuhan",0,-1.45938330721548,1.37223911475337
"178","Wuhan vax. (single dose)","wuhan","Alpha",-1.15664803216975,-2.68361089802801,0.396636121933175
"179","Wuhan vax. (single dose)","wuhan","Beta",-2.59496020206178,-4.15202060056593,-1.01892536345066
"180","Wuhan vax. (single dose)","wuhan","Delta",-1.53227629303042,-3.2099083526551,0.0323066082236429
"181","Wuhan vax. (single dose)","wuhan","BA.1",-4.37711852352773,-8.80223183794836,-1.89308623313889
"182","Wuhan vax. (single dose)","wuhan","BA.2",-3.7860962529467,-6.17851026934296,-2.0611593336446
"183","Wuhan vax. (single dose)","wuhan","BA.2.12.1",-10.2282042928012,-199.163768228397,-4.41076203619196
"184","Wuhan vax. (single dose)","wuhan","BA.5",-3.1157845229444,-4.55190795928268,-1.64449808950677
"185","Wuhan vax. (single dose)","wuhan","BQ.1.1",-2.41549763044006,-4.04975107376477,-0.67600185289759
"186","Wuhan vax. (single dose)","wuhan","XBB.1",-2.48411295974928,-4.03230922904274,-0.964153305307869
"187","Wuhan vax. (single dose)","wuhan","XBB.1.5",-2.85042876156762,-4.47112509103734,-1.24861136629955
"188","Wuhan vax. (single dose)","wuhan","XBC.1.6",-10.2282042928012,-197.261767781046,-5.83946118277363
"189","Wuhan vax. (single dose)","wuhan","FL.1.5.1",-5.11139403360031,-20.2244171927156,-1.48407812381996
"190","Wuhan vax. (single dose)","wuhan","DV.7.1",-10.2282042928012,-199.939955067813,-5.53556989023848
"191","Wuhan vax. (single dose)","wuhan","HV.1",-10.2282042928012,-201.767119004572,-5.6988878011699
"192","Wuhan vax. (single dose)","wuhan","HK.3",-10.2282042928012,-197.282458305872,-5.21539686282148
"193","Wuhan vax. (single dose)","wuhan","BA.2.86",-4.16450167275019,-9.60916393677224,-1.32344309263441
"194","Wuhan vax. (single dose)","wuhan","EG.5.1",-4.18920168041705,-8.79865124153039,-2.0053490469158
"195","Wuhan vax. (single dose)","wuhan","JN.1",-4.87319276186691,-22.443302702956,-0.726669871975366
"196","Wuhan vax. (single dose)","wuhan","KP.2",-4.85576582038528,-22.4024301435347,-0.468773513205788
"197","Wuhan vax. (single dose)","wuhan","KP.3",-4.12780901367518,-9.22383782112648,-1.7427673448406
"198","Wuhan vax. (single dose)","wuhan","KZ.1.1.1",-10.2282042928012,-200.024371629998,-4.74055995090684
"199","Beta vax. (single dose)","beta","Wuhan",-1.68939518831075,-3.40855192960461,-0.0317895246599209
"200","Beta vax. (single dose)","beta","Alpha",-2.45149974915608,-4.08570646980968,-0.866998372783765
"201","Beta vax. (single dose)","beta","Beta",0,-1.41295481807448,1.43779161436798
"202","Beta vax. (single dose)","beta","Delta",-2.098923472717,-3.72080147962595,-0.431820922102523
"203","Beta vax. (single dose)","beta","BA.1",-3.81440792304122,-6.91802511181882,-1.32126233440975
"204","Beta vax. (single dose)","beta","BA.2",-3.99097786352966,-7.07394028427232,-1.8090901489206
"205","Beta vax. (single dose)","beta","BA.2.12.1",-10.3322815856007,-198.045155236394,-6.00890924026836
"206","Beta vax. (single dose)","beta","BA.5",-2.82070611051882,-4.46800558743903,-1.10628968024728
"207","Beta vax. (single dose)","beta","BQ.1.1",-10.3322815856007,-199.393365097316,-5.26284501355492
"208","Beta vax. (single dose)","beta","XBB.1",-10.3322815856007,-198.556390768938,-6.3456846360873
"209","Beta vax. (single dose)","beta","XBB.1.5",-3.1265843351508,-5.02825960542487,-1.21868867466365
"210","Beta vax. (single dose)","beta","XBC.1.6",-10.3322815856007,-199.97578320376,-5.72833459084939
"211","Beta vax. (single dose)","beta","FL.1.5.1",-10.3322815856007,-201.744295431599,-6.33881501250012
"212","Beta vax. (single dose)","beta","DV.7.1",-10.3322815856007,-198.292718829842,-5.50020964715147
"213","Beta vax. (single dose)","beta","HV.1",-10.3322815856007,-198.237669834391,-5.39473984597917
"214","Beta vax. (single dose)","beta","HK.3",-10.3322815856007,-202.16803771034,-5.70805674995439
"215","Beta vax. (single dose)","beta","BA.2.86",-10.3322815856007,-200.097269231413,-6.18991079070987
"216","Beta vax. (single dose)","beta","EG.5.1",-10.3322815856007,-200.040669102066,-4.62171544014795
"217","Beta vax. (single dose)","beta","JN.1",-10.3322815856007,-198.393559762649,-6.32298617455758
"218","Beta vax. (single dose)","beta","KP.2",-10.3322815856007,-199.303787183269,-5.95881999222841
"219","Beta vax. (single dose)","beta","KP.3",-10.3322815856007,-198.047164913673,-5.76000463907837
"220","Beta vax. (single dose)","beta","KZ.1.1.1",-10.3322815856007,-201.582609612675,-6.10036525798989
